SAMPLE.ID,LAKE.NO,DIVISION,TAXON,BIOMASS.MG.L,Day,Treatment
G19041206451,41,Cyanophyta,Pseudanabaena,0.0077891,206,Pre
G19041206451,41,Cyanophyta,Snowella,0.439020102,206,Pre
G19041206451,41,Bacillariophyta,Stephanodiscus,0.765330509,206,Pre
G19041206451,41,Bacillariophyta,Unknwon pennate bacillariophyte,2.123153728,206,Pre
G19041206452,41,Cyanophyta,Aphanothece,90.24,206,Post
G19041206452,41,Cyanophyta,Merismopedia,0.02,206,Post
G19041206452,41,Cyanophyta,Microcystis,61.58,206,Post
G19041206452,41,Cyanophyta,Pseudanabaena,0.02,206,Post
G19041206452,41,Cyanophyta,Snowella,0.86,206,Post
G19041206452,41,Bacillariophyta,Stephanodiscus,1.02,206,Post
G19041213451.cs,41,Cyanophyta,Aphanothece,9.769094139,213,Pre
G19041213451.cs,41,Chrysophyta,Mallomonas,1.58002367,213,Pre
G19041213451.cs,41,Cyanophyta,Merismopedia,0.003366528,213,Pre
G19041213451.cs,41,Cyanophyta,Microcystis,315.8591298,213,Pre
G19041213451.cs,41,Cyanophyta,Snowella,1.718579244,213,Pre
G19041213452.cs,41,Cyanophyta,Aphanothece,15.72884836,213,Post
G19041213452.cs,41,Chlorophyta,Desmodesmus,0.024110424,213,Post
G19041213452.cs,41,Cyanophyta,Merismopedia,0.016174538,213,Post
G19041213452.cs,41,Cyanophyta,Microcystis,45.77499674,213,Post
G19041213452.cs,41,Cyanophyta,Pseudanabaena,0.00885689,213,Post
G19041213452.cs,41,Cyanophyta,Snowella,2.547543776,213,Post
G19041220451,41,Cyanophyta,Aphanocapsa,0.297607368,220,Pre
G19041220451,41,Cyanophyta,Aphanothece,38.45670344,220,Pre
G19041220451,41,Chlorophyta,Desmodesmus,0.03107229,220,Pre
G19041220451,41,Cyanophyta,Merismopedia,0.02197633,220,Pre
G19041220451,41,Cyanophyta,Microcystis,11.96219193,220,Pre
G19041220451,41,Chlorophyta,Oocystis,0.081974459,220,Pre
G19041220451,41,Cyanophyta,Snowella,1.868193502,220,Pre
G19041220452,41,Cyanophyta,Aphanocapsa,0.02,220,Post
G19041220452,41,Cyanophyta,Aphanothece,57.26,220,Post
G19041220452,41,Cyanophyta,Merismopedia,0.01,220,Post
G19041220452,41,Cyanophyta,Microcystis,74.74,220,Post
G19041220452,41,Cyanophyta,Pseudanabaena,0.09,220,Post
G19041220452,41,Cyanophyta,Snowella,0.41,220,Post
G19041227451,41,Cyanophyta,Aphanothece,0.167508473,227,Pre
G19041227451,41,Chlorophyta,Chalmydomonas,0.027869222,227,Pre
G19041227451,41,Cryptophyta,Cryptomonas,0.083157488,227,Pre
G19041227451,41,Cryptophyta,Komma,0.040202033,227,Pre
G19041227451,41,Cyanophyta,Merismopedia,0.005897209,227,Pre
G19041227451,41,Cyanophyta,Microcystis,4.125815304,227,Pre
G19041227451,41,Cyanophyta,Planktolyngbya,0.267155174,227,Pre
G19041227451,41,Cyanophyta,Pseudanabaena,0.004616952,227,Pre
G19041227451,41,Cyanophyta,Snowella,0.046002014,227,Pre
G19041227452,41,Cyanophyta,Aphanothece,98.39,227,Post
G19041227452,41,Cyanophyta,Microcystis,144.77,227,Post
G19041227452,41,Cyanophyta,Pseudanabaena,0.21,227,Post
G19041227452,41,Euglenophyta,Trachelomonas,0.09,227,Post
G19041245451.cs,41,Cyanophyta,Aphanocapsa,0.957450513,245,Pre
G19041245451.cs,41,Chlorophyta,Chalmydomonas,0.067320739,245,Pre
G19041245451.cs,41,Euglenophyta,Euglena,0.080757405,245,Pre
G19041245451.cs,41,Cyanophyta,Merismopedia,0.000157039,245,Pre
G19041245451.cs,41,Cyanophyta,Microcystis,17.34609129,245,Pre
G19041245451.cs,41,Cyanophyta,Pseudanabaena,0.087226896,245,Pre
G19041245451.cs,41,Chlorophyta,Schroederia,0.031407839,245,Pre
G19041245451.cs,41,Cyanophyta,Snowella,0.386375305,245,Pre
G19041245452,41,Cyanophyta,Aphanocapsa,2.77,245,Post
G19041245452,41,Cyanophyta,Aphanothece,134.43,245,Post
G19041245452,41,Chlorophyta,Golenkiniopsis,0.06,245,Post
G19041245452,41,Cryptophyta,Komma,0.13,245,Post
G19041245452,41,Cyanophyta,Merismopedia,0,245,Post
G19041245452,41,Cyanophyta,Microcystis,38.58,245,Post
G19041245452,41,Cyanophyta,Pseudanabaena,0.5,245,Post
G19041245452,41,Cyanophyta,Snowella,0.2,245,Post
G19041251451.cs,41,Cyanophyta,Aphanocapsa,0.750941579,251,Pre
G19041251451.cs,41,Chlorophyta,Chalmydomonas,0.009459302,251,Pre
G19041251451.cs,41,Cyanophyta,Merismopedia,0.000073901,251,Pre
G19041251451.cs,41,Cyanophyta,Microcystis,12.0810424,251,Pre
G19041251451.cs,41,Cyanophyta,Pseudanabaena,0.027719163,251,Pre
G19041251451.cs,41,Cyanophyta,Snowella,0.181823673,251,Pre
G19041251451.cs,41,Bacillariophyta,Stephanodiscus,4.046512033,251,Pre
G19041251452.cs,41,Cyanophyta,Microcystis,15.15261754,251,Post
G19041251452.cs,41,Cyanophyta,Pseudanabaena,1.174461284,251,Post
G19041251452.cs,41,Bacillariophyta,Stephanodiscus,0.631360373,251,Post
